Risk Rating,Country Code,Institution,Kind,Security credentials,End-user lists,Espionage or misconduct
HIGH,CN,Academy of Military Science,Military,None,None,None
MEDIUM,CN,Aero Engine Corporation of China,Defence industry conglomerate,None,None,None
HIGH,CN,Air Force Command College,Military,None,None,None
HIGH,CN,Air Force Communication NCO Academy,Military,None,None,None
HIGH,CN,Air Force Early Warning Academy,Military,None,None,None
HIGH,CN,Air Force Engineering University,Military,None,None,Yes
HIGH,CN,Air Force Flight Academy Shijiazhuang,Military,None,None,None
HIGH,CN,Air Force Harbin Flight Academy,Military,None,None,None
HIGH,CN,Air Force Logistics University,Military,None,None,None
HIGH,CN,Air Force Medical University,Military,None,None,None
HIGH,CN,Air Force Research Institute,Military,None,None,None
HIGH,CN,Air Force Xi’an Flight Academy,Military,None,None,None
HIGH,CN,Army Academy of Armored Forces,Military,None,None,None
HIGH,CN,Army Academy of Artillery and Air Defense,Military,None,None,None
HIGH,CN,Army Academy of Border and Coastal Defense,Military,None,None,None
HIGH,CN,Army Aviation College,Military,None,None,None
HIGH,CN,Army Engineering University,Military,None,None,None
HIGH,CN,Army Infantry Academy,Military,None,None,None
HIGH,CN,Army Medical University,Military,None,None,None
HIGH,CN,Army Military Transportation Academy,Military,None,None,None
HIGH,CN,Army Research Institute,Military,None,None,None
HIGH,CN,Army Service Academy,Military,None,None,None
HIGH,CN,Army Special Operations Academy,Military,None,None,None
MEDIUM,CN,Aviation Industry Corporation of China,Defence industry conglomerate,None,Yes,Yes
HIGH,CN,Aviation University of Air Force,Military,None,None,None
HIGH,CN,Beihang University,Seven Sons,Top secret,Yes,None
HIGH,CN,Beijing Institute of Technology,Seven Sons,Top secret,Yes,None
HIGH,CN,Beijing Normal University,Civilian,Secret,None,None
HIGH,CN,Beijing University of Chemical Technology,Civilian,Secret,None,None
HIGH,CN,Beijing University of Posts and Telecommunications,Civilian,Top secret,Yes,None
HIGH,CN,Central South University,Civilian,Secret,None,None
HIGH,CN,Changchun University of Science and Technology,Civilian,Secret,None,None
HIGH,CN,China Aerodynamics Research and Development Center,Military,None,Yes,None
HIGH,CN,China Aerospace Science and Industry Corporation,Defence industry conglomerate,None,Yes,Yes
HIGH,CN,China Aerospace Science and Technology Corporation,Defence industry conglomerate,None,Yes,Yes
HIGH,CN,China Agricultural University,Civilian,None,None,None
HIGH,CN,China Coast Guard Academy,Military,None,None,None
MEDIUM,CN,China Electronics Corporation,Defence industry conglomerate,None,None,Yes
HIGH,CN,China Electronics Technology Group Corporation,Defence industry conglomerate,None,Yes,Yes
MEDIUM,CN,China National Nuclear Corporation,Defence industry conglomerate,None,Yes,Yes
MEDIUM,CN,China North Industries Group,Defence industry conglomerate,None,None,Yes
MEDIUM,CN,China Shipbuilding Industry Corporation,Defence industry conglomerate,None,Yes,Yes
MEDIUM,CN,China South Industries Group,Defence industry conglomerate,None,None,None
MEDIUM,CN,China State Shipbuilding Corporation,Defence industry conglomerate,None,Yes,None
HIGH,CN,China University of Mining and Technology,Civilian,None,None,None
HIGH,CN,Chinese Academy of Engineering Physics,Military,None,Yes,Yes
HIGH,CN,Chongqing University,Civilian,Secret,None,None
HIGH,CN,Dalian Naval Academy,Military,None,None,None
HIGH,CN,Dalian University of Technology,Civilian,Secret,None,None
HIGH,CN,East China Normal University,Civilian,None,None,Yes
HIGH,CN,Engineering University of the CAPF,Military,None,None,None
HIGH,CN,Fudan University,Civilian,None,None,None
HIGH,CN,Fuzhou University,Civilian,Secret,None,None
HIGH,CN,Guilin University of Electronic Science and Technology,Civilian,Secret,None,None
HIGH,CN,Hangzhou Dianzi University,Civilian,Secret,None,None
HIGH,CN,Hangzhou Normal University,Civilian,None,None,None
HIGH,CN,Harbin Engineering University,Seven Sons,Top secret,Yes,Yes
HIGH,CN,Harbin Institute of Technology,Seven Sons,Top secret,Yes,Yes
HIGH,CN,Hebei University of Science and Technology,Civilian,Secret,None,None
HIGH,CN,Hefei University of Technology,Civilian,Secret,None,None
HIGH,CN,Huazhong University of Science and Technology,Civilian,Secret,None,None
HIGH,CN,Hunan University,Civilian,Secret,Yes,Yes
HIGH,CN,Information Engineering University,Military,None,None,Yes
HIGH,CN,Institute of NBC Defense,Military,None,None,None
HIGH,CN,Jiangsu University of Science and Technology,Civilian,Secret,None,None
HIGH,CN,Jilin University,Civilian,Secret,None,None
HIGH,CN,Lanzhou University,Civilian,Secret,None,None
HIGH,CN,Logistics University of the People’s Armed Police Force,Military,None,None,None
HIGH,CN,Nanchang Hangkong University,Civilian,Secret,None,None
HIGH,CN,Nanjing Army Command College,Military,None,None,None
HIGH,CN,Nanjing University,Civilian,Secret,None,None
HIGH,CN,Nanjing University of Aeronautics and Astronautics,Seven Sons,Top secret,Yes,Yes
HIGH,CN,Nanjing University of Posts and Telecommunications,Civilian,Secret,None,None
HIGH,CN,Nanjing University of Science and Technology,Seven Sons,Top secret,Yes,None
HIGH,CN,Nankai University,Civilian,Secret,None,None
HIGH,CN,National Defense University,Military,None,None,None
HIGH,CN,National University of Defense Technology,Military,None,Yes,Yes
HIGH,CN,Naval Command College,Military,None,None,None
HIGH,CN,Naval Petty Officer Academy,Military,None,None,None
HIGH,CN,Naval Research Academy,Military,None,None,None
HIGH,CN,Naval University of Engineering,Military,None,None,None
HIGH,CN,Navy Aviation University,Military,None,None,None
HIGH,CN,Navy Logistics Academy,Military,None,None,None
HIGH,CN,Navy Medical University,Military,None,None,None
HIGH,CN,Navy Submarine Academy,Military,None,None,None
HIGH,CN,North China Institute of Aerospace Engineering,Civilian,Secret,None,None
HIGH,CN,North China University of Science and Technology,Civilian,None,None,None
HIGH,CN,North University of China,Civilian,Secret,None,Yes
HIGH,CN,Northwest Institute of Nuclear Technology,Military,None,Yes,None
HIGH,CN,Northwestern Polytechnical University,Seven Sons,Top secret,Yes,Yes
HIGH,CN,Ocean University of China,Civilian,Secret,Yes,None
HIGH,CN,Officers College of the PAP,Military,None,None,None
HIGH,CN,PAP NCO College,Military,None,None,None
HIGH,CN,Peking University,Civilian,None,None,None
HIGH,CN,People’s Armed Police Command College,Military,None,None,None
HIGH,CN,Rocket Force Command College,Military,None,None,None
HIGH,CN,Rocket Force Research Institute,Military,None,None,None
HIGH,CN,Rocket Force Sergeant School,Military,None,None,None
HIGH,CN,Rocket Force University of Engineering,Military,None,None,Yes
HIGH,CN,Shandong University,Civilian,Secret,None,None
HIGH,CN,Shanghai Jiao Tong University,Civilian,Secret,None,Yes
HIGH,CN,Shanghai University,Civilian,Secret,None,None
HIGH,CN,Shenyang Aerospace University,Civilian,None,None,None
HIGH,CN,Shenyang Ligong University,Civilian,Secret,None,None
HIGH,CN,Sichuan University,Civilian,Secret,Yes,Yes
HIGH,CN,Southeast University,Civilian,Secret,None,Yes
HIGH,CN,Southern University of Science and Technology,Civilian,None,None,None
HIGH,CN,Southwest University of Science and Technology,Civilian,Secret,None,None
